Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
C,bubblesort,25000,2.486145,1.185303,0.089722,38.432,0.103396
C,cyclesort,25000,2.774719,1.273682,0.040527,38.456,0.126602
C,heapsort,25000,2.406372,1.197510,0.035583,37.228,0.099023
C,insertionsort,25000,2.607605,1.090698,0.141296,37.544,0.117035
C,mergesort,25000,2.927551,1.469421,0.037415,39.556,0.12174
C,oddevensort,25000,2.581055,1.292297,0.035583,38.508,0.106724
C,quicksort,25000,2.829590,1.385864,0.045105,38.184,0.118055
C,selectionsort,25000,2.539612,1.252930,0.042908,38.044,0.105628
C++,bubblesort,25000,24.720947,7.209595,0.048401,84.94,1.50803
C++,cyclesort,25000,11.838379,6.212219,0.041931,85.132,0.481971
C++,heapsort,25000,11.685547,6.079834,0.050720,85.064,0.477156
C++,insertionsort,25000,11.422363,5.925903,0.034485,84.984,0.470927
C++,mergesort,25000,12.629578,6.446106,0.118835,87.02,0.523897
C++,oddevensort,25000,11.836426,6.205139,0.044800,85.42,0.482218
C++,quicksort,25000,11.638855,5.863037,0.137695,84.764,0.48673
C++,selectionsort,25000,11.696716,6.136841,0.046387,85.168,0.476127
C#,bubblesort,25000,44.112366,10.998962,0.049255,64.988,2.86642
C#,cyclesort,25000,12.628296,6.670715,0.033264,65.432,0.511842
C#,heapsort,25000,12.738831,6.661865,0.036438,63.248,0.521747
C#,insertionsort,25000,12.828918,6.764587,0.034180,69.144,0.522619
C#,mergesort,25000,12.992676,6.634583,0.127930,67.464,0.539141
C#,oddevensort,25000,12.667725,6.764771,0.003479,67.512,0.511278
C#,quicksort,25000,12.939880,6.859253,0.034424,65.508,0.521835
C#,selectionsort,25000,12.663269,6.786011,0.000000,63.472,0.509128
Go,bubblesort,25000,26.799133,4.388000,0.038269,56.556,1.93362
Go,cyclesort,25000,3.694336,1.825989,0.032715,54.908,0.155945
Go,heapsort,25000,4.301453,1.765259,0.031982,54.74,0.213307
Go,insertionsort,25000,4.428833,1.583435,0.031616,56.824,0.240024
Go,mergesort,25000,4.405273,1.573181,0.023010,57.1,0.240371
Go,oddevensort,25000,4.408997,1.703613,0.051453,55.668,0.227695
Go,quicksort,25000,3.943054,1.733398,0.032593,56.516,0.184098
Go,selectionsort,25000,3.954224,1.509216,0.021790,57.876,0.208252
Haskell,bubblesort,25000,337.532715,163.063660,0.157654,631.412,14.8196
Haskell,cyclesort,25000,584.245972,303.960938,0.172974,731.108,23.7327
Haskell,heapsort,25000,309.526855,160.868530,0.142822,642.272,12.5923
Haskell,insertionsort,25000,309.729431,160.947144,0.169800,580.0,12.5995
Haskell,mergesort,25000,309.787292,160.173645,0.149292,600.028,12.6675
Haskell,oddevensort,25000,289.015625,151.300842,0.140930,682.528,11.6609
Haskell,quicksort,25000,306.340637,160.093384,0.093628,594.004,12.393
Haskell,selectionsort,25000,317.320557,165.100952,0.157898,642.6,12.8769
Rust,bubblesort,25000,258.182983,123.072510,0.158020,1074.96,11.5822
Rust,cyclesort,25000,229.534607,121.222473,0.093628,1076.06,9.27268
Rust,heapsort,25000,233.383423,123.110535,0.133606,1085.192,9.43594
Rust,insertionsort,25000,234.409729,123.816345,0.093994,1080.492,9.46728
Rust,mergesort,25000,227.086914,119.806885,0.088745,1098.6,9.18589
Rust,oddevensort,25000,228.819153,120.779663,0.091309,1088.156,9.24435
Rust,quicksort,25000,231.700928,123.211914,0.065979,1092.488,9.29273
Rust,selectionsort,25000,229.062927,120.435425,0.099426,1072.524,9.30442
Swift,bubblesort,25000,371.185059,189.376770,0.218018,142.852,15.6797
Swift,cyclesort,25000,352.756348,186.787109,0.109009,143.368,14.3282
Swift,heapsort,25000,360.003174,189.566711,0.123779,147.508,14.7119
Swift,insertionsort,25000,337.270264,178.718445,0.086060,144.268,13.6894
Swift,mergesort,25000,361.249084,191.474976,0.150574,145.54,14.6462
Swift,oddevensort,25000,352.235657,186.612671,0.089417,143.932,14.3033
Swift,quicksort,25000,360.080017,190.204712,0.106384,145.264,14.6639
Swift,selectionsort,25000,351.293152,185.911133,0.115723,144.116,14.2745
C,bubblesort,25000,2.420959,1.206909,0.030518,38.32,0.100301
C,cyclesort,25000,2.769470,1.356445,0.041748,38.584,0.116361
C,heapsort,25000,2.508423,1.269653,0.037354,37.552,0.102634
C,insertionsort,25000,2.586365,1.174133,0.039673,37.304,0.116627
C,mergesort,25000,2.988831,1.509338,0.039062,39.448,0.124037
C,oddevensort,25000,2.631592,1.257874,0.030090,38.592,0.114692
C,quicksort,25000,2.876221,1.363525,0.045349,38.324,0.124514
C,selectionsort,25000,2.780762,1.401428,0.045837,37.936,0.113661
C++,bubblesort,25000,11.520935,5.905457,0.146179,85.212,0.472025
C++,cyclesort,25000,11.972534,6.228943,0.039185,85.896,0.489792
C++,heapsort,25000,11.727661,6.131531,0.033203,85.608,0.479958
C++,insertionsort,25000,11.512207,6.072266,0.042358,85.032,0.464772
C++,mergesort,25000,12.764587,6.689026,0.032715,87.004,0.520513
C++,oddevensort,25000,11.546753,6.051697,0.043396,85.7,0.4699
C++,quicksort,25000,11.564392,6.062683,0.030762,84.928,0.470433
C++,selectionsort,25000,11.791626,6.134644,0.036621,85.264,0.48483
C#,bubblesort,25000,13.167175,6.894531,0.103516,65.468,0.533373
C#,cyclesort,25000,13.254395,6.997070,0.080200,67.352,0.534638
C#,heapsort,25000,12.960083,6.814392,0.033630,63.336,0.528137
C#,insertionsort,25000,12.884705,6.754333,0.035706,65.52,0.527245
C#,mergesort,25000,12.879333,6.815674,0.024597,67.568,0.522131
C#,oddevensort,25000,13.107239,6.913940,0.032959,63.528,0.532037
C#,quicksort,25000,13.264038,7.011597,0.068542,67.356,0.533993
C#,selectionsort,25000,12.981812,6.867126,0.034912,67.38,0.526411
Go,bubblesort,25000,3.690125,1.715393,0.035522,55.6,0.1649
Go,cyclesort,25000,3.284973,1.484131,0.024353,57.5,0.150447
Go,heapsort,25000,3.834351,1.858887,0.032166,54.84,0.164662
Go,insertionsort,25000,3.767700,1.673157,0.095276,57.364,0.17078
Go,mergesort,25000,3.121826,1.245605,0.042847,57.052,0.157621
Go,oddevensort,25000,3.686523,1.771057,0.029785,56.74,0.159187
Go,quicksort,25000,3.574829,1.789368,0.015015,55.028,0.152096
Go,selectionsort,25000,3.109863,1.433838,0.025879,56.692,0.139668
Haskell,bubblesort,25000,306.853210,160.566895,0.203430,630.884,12.3866
Haskell,cyclesort,25000,586.394775,306.450500,0.153931,715.092,23.6942
Haskell,heapsort,25000,311.485596,162.726379,0.119263,643.188,12.6035
Haskell,insertionsort,25000,309.200989,161.203796,0.243164,651.888,12.5215
Haskell,mergesort,25000,306.449707,159.516602,0.262817,687.436,12.4289
Haskell,oddevensort,25000,288.937073,151.127075,0.182556,670.192,11.6691
Haskell,quicksort,25000,306.001343,159.896973,0.185852,603.9,12.3715
Haskell,selectionsort,25000,325.839783,170.414856,0.159363,666.996,13.1574
Rust,bubblesort,25000,226.821899,119.702026,0.127686,1084.748,9.16186
Rust,cyclesort,25000,228.916931,120.763855,0.104004,1086.036,9.25151
Rust,heapsort,25000,227.095459,120.692932,0.097961,1083.668,9.1124
Rust,insertionsort,25000,224.692139,118.583496,0.086731,1082.96,9.08698
Rust,mergesort,25000,231.189209,121.869263,0.093994,1104.352,9.35617
Rust,oddevensort,25000,236.489075,124.681396,0.105652,1086.9,9.56803
Rust,quicksort,25000,231.212769,122.108337,0.090576,1096.012,9.34816
Rust,selectionsort,25000,228.756958,120.557861,0.101868,1076.128,9.26245
Swift,bubblesort,25000,352.361450,186.914490,0.098633,144.264,14.2891
Swift,cyclesort,25000,340.926331,180.759949,0.070068,143.484,13.8325
Swift,heapsort,25000,374.802490,199.349487,0.127808,147.496,15.2648
Swift,insertionsort,25000,336.087158,179.470398,0.129517,144.368,13.6605
Swift,mergesort,25000,360.071777,192.141907,0.156433,145.536,14.6362
Swift,oddevensort,25000,345.080078,184.152405,0.120544,143.848,14.0444
Swift,quicksort,25000,358.181152,191.275452,0.110596,145.192,14.5683
Swift,selectionsort,25000,339.222900,181.450256,0.132141,144.548,13.7689
C,bubblesort,25000,2.603210,1.178284,0.015503,38.58,0.123188
C,cyclesort,25000,2.397827,1.255127,0.016907,38.58,0.098153
C,heapsort,25000,2.326782,1.169067,0.015259,37.552,0.098457
C,insertionsort,25000,2.170593,1.115479,0.015503,37.348,0.091554
C,mergesort,25000,2.608154,1.364380,0.016541,39.62,0.105452
C,oddevensort,25000,2.555725,1.360901,0.011108,38.716,0.102982
C,quicksort,25000,2.485474,1.304138,0.019531,38.196,0.100935
C,selectionsort,25000,2.710632,1.422668,0.016479,38.068,0.108155
C++,bubblesort,25000,11.460754,6.121338,0.019775,85.424,0.463829
C++,cyclesort,25000,11.723328,6.286682,0.021606,85.86,0.472191
C++,heapsort,25000,11.554810,6.193970,0.031982,85.056,0.462512
C++,insertionsort,25000,10.947632,5.863403,0.019592,84.944,0.443601
C++,mergesort,25000,12.904358,6.890747,0.031067,87.076,0.519434
C++,oddevensort,25000,11.071350,5.911133,0.013794,85.716,0.448927
C++,quicksort,25000,11.642090,6.208618,0.016174,85.32,0.471392
C++,selectionsort,25000,11.238220,5.989258,0.016663,85.068,0.457011
C#,bubblesort,25000,12.907715,6.880371,0.020203,67.332,0.522229
C#,cyclesort,25000,12.979614,6.962891,0.012024,65.432,0.523371
C#,heapsort,25000,12.971497,6.933350,0.027405,69.56,0.524658
C#,insertionsort,25000,12.834412,6.865723,0.010010,67.4,0.521831
C#,mergesort,25000,12.850769,6.885864,0.020630,65.18,0.518546
C#,oddevensort,25000,12.985291,7.007324,0.008850,67.7,0.522188
C#,quicksort,25000,12.823364,6.927063,0.011902,59.26,0.513968
C#,selectionsort,25000,12.979187,6.965454,0.018921,67.352,0.522741
Go,bubblesort,25000,3.228943,1.517761,0.010559,55.192,0.146937
Go,cyclesort,25000,3.272156,1.603699,0.009033,54.504,0.141535
Go,heapsort,25000,3.605469,1.791077,0.008362,56.268,0.154208
Go,insertionsort,25000,2.956360,1.332703,0.011536,57.184,0.138786
Go,mergesort,25000,3.504089,1.844421,0.010254,56.264,0.141734
Go,oddevensort,25000,3.482605,1.626831,0.014526,53.912,0.157767
Go,quicksort,25000,3.040161,1.362488,0.009705,57.084,0.142416
Go,selectionsort,25000,3.531494,1.815674,0.011047,56.86,0.147403
Haskell,bubblesort,25000,307.078369,161.941284,0.125488,631.856,12.4253
Haskell,cyclesort,25000,580.124268,305.756104,0.218872,687.064,23.4622
Haskell,heapsort,25000,303.823853,160.185852,0.145447,635.656,12.2962
Haskell,insertionsort,25000,298.738770,157.178345,0.114990,577.14,12.106
Haskell,mergesort,25000,301.304138,159.074097,0.136475,598.508,12.1647
Haskell,oddevensort,25000,282.366028,149.044373,0.145264,681.712,11.4002
Haskell,quicksort,25000,305.050171,160.757202,0.135437,593.928,12.3533
Haskell,selectionsort,25000,317.559570,167.035645,0.157898,670.036,12.8683
Rust,bubblesort,25000,224.278809,118.966309,0.098633,1087.356,9.10325
Rust,cyclesort,25000,225.997375,120.140015,0.101868,1084.936,9.14883
Rust,heapsort,25000,225.052917,119.794189,0.111633,1080.244,9.09888
Rust,insertionsort,25000,221.081116,117.694275,0.083923,1077.712,8.93863
Rust,mergesort,25000,222.862671,118.885925,0.073425,1101.668,8.99832
Rust,oddevensort,25000,225.034546,119.931763,0.092957,1081.684,9.09299
Rust,quicksort,25000,229.766479,122.378052,0.097900,1084.088,9.29469
Rust,selectionsort,25000,225.987427,120.313293,0.084656,1075.288,9.13751
Swift,bubblesort,25000,338.099548,180.376465,0.127014,144.22,13.7534
Swift,cyclesort,25000,339.234375,181.203735,0.109680,143.424,13.7876
Swift,heapsort,25000,371.992981,198.458008,0.140198,147.044,15.1318
Swift,insertionsort,25000,352.091187,188.235413,0.143677,144.264,14.2988
Swift,mergesort,25000,356.992554,190.724243,0.119751,145.556,14.5066
Swift,oddevensort,25000,335.586426,179.427124,0.132324,143.784,13.6217
Swift,quicksort,25000,360.672302,192.325012,0.142517,145.3,14.6844
Swift,selectionsort,25000,342.660522,182.201294,0.143005,144.176,13.994
C,bubblesort,25000,2.531494,1.197815,0.018494,38.368,0.113448
C,cyclesort,25000,2.301941,1.131104,0.012878,38.584,0.100743
C,heapsort,25000,2.615845,1.359070,0.016968,37.68,0.10655
C,insertionsort,25000,2.073425,1.032349,0.012451,37.3,0.088544
C,mergesort,25000,3.090393,1.469238,0.013794,39.296,0.140239
C,oddevensort,25000,2.180664,1.098633,0.015991,38.72,0.093087
C,quicksort,25000,3.005920,1.570801,0.012329,38.324,0.122416
C,selectionsort,25000,2.108154,1.079529,0.014709,38.196,0.087792
C++,bubblesort,25000,11.432312,6.115662,0.016357,85.5,0.46445
C++,cyclesort,25000,11.457153,6.057129,0.013977,85.448,0.469864
C++,heapsort,25000,11.647217,6.201660,0.013977,85.408,0.473794
C++,insertionsort,25000,11.456787,6.054932,0.023804,85.26,0.467358
C++,mergesort,25000,12.439819,6.647339,0.010620,88.128,0.504998
C++,oddevensort,25000,11.328674,6.054016,0.019348,85.976,0.457948
C++,quicksort,25000,11.384277,6.052551,0.019775,85.424,0.462574
C++,selectionsort,25000,11.322571,6.046082,0.014771,86.0,0.457024
C#,bubblesort,25000,12.650269,6.728455,0.015686,67.22,0.516213
C#,cyclesort,25000,13.028748,6.957703,0.011658,65.512,0.528761
C#,heapsort,25000,12.947937,6.917847,0.021973,67.316,0.52537
C#,insertionsort,25000,12.677307,6.767395,0.018982,67.64,0.515548
C#,mergesort,25000,12.811340,6.855713,0.009827,63.532,0.519715
C#,oddevensort,25000,12.865417,6.915894,0.019226,67.452,0.51941
C#,quicksort,25000,13.010254,6.948914,0.016235,71.572,0.528109
C#,selectionsort,25000,12.774048,6.863770,0.004517,67.528,0.516784
Go,bubblesort,25000,3.012146,1.394165,0.012512,55.46,0.137911
Go,cyclesort,25000,3.442383,1.648621,0.012634,53.768,0.153061
Go,heapsort,25000,3.556702,1.615906,0.014038,55.964,0.16579
Go,insertionsort,25000,3.023621,1.274170,0.009155,55.928,0.149893
Go,mergesort,25000,3.465759,1.746277,0.009705,54.68,0.146696
Go,oddevensort,25000,3.500549,1.798096,0.011719,55.256,0.146248
Go,quicksort,25000,3.071167,1.512146,0.009094,55.08,0.132497
Go,selectionsort,25000,3.653259,1.922729,0.011292,56.468,0.148236
Haskell,bubblesort,25000,304.633179,160.658813,0.143982,631.596,12.3182
Haskell,cyclesort,25000,588.500610,310.228210,0.205872,690.448,23.8037
Haskell,heapsort,25000,310.412842,163.728577,0.132812,632.116,12.554
Haskell,insertionsort,25000,298.649353,157.390320,0.131226,589.86,12.088
Haskell,mergesort,25000,306.272827,161.153320,0.138367,672.352,12.4068
Haskell,oddevensort,25000,282.822388,148.970642,0.136536,682.48,11.4517
Haskell,quicksort,25000,301.653748,159.090759,0.130615,633.52,12.1938
Haskell,selectionsort,25000,312.973938,164.821106,0.152039,642.54,12.6637
Rust,bubblesort,25000,236.705200,126.147156,0.101929,1083.684,9.56188
Rust,cyclesort,25000,229.230835,122.228821,0.114502,1090.632,9.24841
Rust,heapsort,25000,225.248413,120.097473,0.093384,1079.552,9.1005
Rust,insertionsort,25000,223.917053,118.985046,0.104370,1084.968,9.06636
Rust,mergesort,25000,229.555359,122.417847,0.094971,1108.376,9.27339
Rust,oddevensort,25000,228.931152,121.744263,0.092590,1082.752,9.27157
Rust,quicksort,25000,219.419495,116.649719,0.101257,1100.128,8.88909
Rust,selectionsort,25000,233.908875,124.345276,0.100098,1075.9,9.47423
Swift,bubblesort,25000,338.595947,180.793579,0.123413,144.328,13.7667
Swift,cyclesort,25000,337.796570,180.599792,0.124756,143.576,13.7146
Swift,heapsort,25000,357.022949,190.712524,0.117798,147.268,14.5139
Swift,insertionsort,25000,335.229736,179.154114,0.119141,144.384,13.6232
Swift,mergesort,25000,370.399658,197.619263,0.139893,145.468,15.0786
Swift,oddevensort,25000,338.722107,181.023254,0.128357,143.84,13.7599
Swift,quicksort,25000,368.380005,196.642090,0.148010,145.22,14.9746
Swift,selectionsort,25000,336.460938,179.546692,0.134644,144.408,13.6889
C,bubblesort,25000,2.092529,0.952576,0.015991,38.452,0.097671
C,cyclesort,25000,2.873230,1.465088,0.018494,38.58,0.1195
C,heapsort,25000,2.040588,1.021362,0.016785,37.352,0.086434
C,insertionsort,25000,2.448059,1.181763,0.016296,37.436,0.109003
C,mergesort,25000,2.581055,1.350464,0.011597,39.62,0.107384
C,oddevensort,25000,2.581543,1.343750,0.016479,38.712,0.104308
C,quicksort,25000,2.523804,1.310547,0.015137,38.2,0.10573
C,selectionsort,25000,2.313660,1.163879,0.011230,38.192,0.099013
C++,bubblesort,25000,11.032043,5.848511,0.017639,85.956,0.449627
C++,cyclesort,25000,11.223145,5.972412,0.017517,85.892,0.455431
C++,heapsort,25000,11.403076,6.012878,0.020142,85.7,0.466636
C++,insertionsort,25000,11.041199,5.840393,0.018311,85.468,0.451914
C++,mergesort,25000,12.209290,6.498413,0.022827,87.668,0.496162
C++,oddevensort,25000,11.101135,5.945618,0.018188,86.208,0.447502
C++,quicksort,25000,11.123535,5.911926,0.018494,85.616,0.451881
C++,selectionsort,25000,11.073425,5.864502,0.013733,85.676,0.453058
C#,bubblesort,25000,12.697266,6.782043,0.015076,65.452,0.514695
C#,cyclesort,25000,12.768127,6.891296,0.011963,67.388,0.513253
C#,heapsort,25000,12.749207,6.870850,0.008606,65.428,0.51475
C#,insertionsort,25000,12.752502,6.861145,0.014771,63.352,0.514555
C#,mergesort,25000,12.979187,6.943787,0.016602,63.344,0.524579
C#,oddevensort,25000,13.061279,7.023621,0.011353,65.208,0.527533
C#,quicksort,25000,12.813354,6.867676,0.008240,69.404,0.517255
C#,selectionsort,25000,12.747375,6.841675,0.010986,63.308,0.513178
Go,bubblesort,25000,3.090759,1.434448,0.008362,56.26,0.141613
Go,cyclesort,25000,3.507874,1.754517,0.009094,54.992,0.149655
Go,heapsort,25000,3.146545,1.547546,0.009399,57.492,0.136677
Go,insertionsort,25000,3.260498,1.619141,0.009583,55.112,0.139647
Go,mergesort,25000,3.536316,1.687744,0.011658,56.012,0.157581
Go,oddevensort,25000,3.076050,1.315613,0.009216,54.72,0.150525
Go,quicksort,25000,3.404419,1.786926,0.012085,55.284,0.137947
Go,selectionsort,25000,3.367249,1.585083,0.012817,56.088,0.151358
Haskell,bubblesort,25000,301.410583,157.958130,0.135559,631.1,12.2762
Haskell,cyclesort,25000,575.090210,302.642334,0.242920,715.148,23.2901
Haskell,heapsort,25000,302.198364,159.265808,0.127808,634.256,12.23
Haskell,insertionsort,25000,298.736816,157.325378,0.153931,671.344,12.0877
Haskell,mergesort,25000,305.381409,161.286438,0.127747,615.112,12.3264
Haskell,oddevensort,25000,282.425537,148.883667,0.119568,610.892,11.424
Haskell,quicksort,25000,302.443665,159.473816,0.134399,594.312,12.232
Haskell,selectionsort,25000,318.347595,167.481445,0.139221,640.144,12.9003
Rust,bubblesort,25000,235.256226,125.346863,0.102600,1082.044,9.50203
Rust,cyclesort,25000,234.747742,125.019104,0.091675,1076.488,9.49333
Rust,heapsort,25000,224.855774,119.570496,0.102112,1078.844,9.10494
Rust,insertionsort,25000,227.350342,120.979126,0.107666,1083.84,9.19499
Rust,mergesort,25000,224.054321,119.334717,0.102173,1108.368,9.0588
Rust,oddevensort,25000,228.580750,121.776489,0.097290,1082.092,9.23183
Rust,quicksort,25000,229.729553,122.604980,0.107788,1092.056,9.26763
Rust,selectionsort,25000,235.217224,125.075867,0.093262,1071.068,9.52386
Swift,bubblesort,25000,341.017700,182.266663,0.136780,144.112,13.8459
Swift,cyclesort,25000,349.338623,186.509338,0.119019,143.572,14.2145
Swift,heapsort,25000,374.799500,200.370422,0.146484,147.384,15.2202
Swift,insertionsort,25000,341.216736,182.082520,0.116028,144.332,13.8942
Swift,mergesort,25000,370.530396,198.107300,0.134949,145.472,15.0459
Swift,oddevensort,25000,339.305908,181.421082,0.129883,143.484,13.7813
Swift,quicksort,25000,357.869812,190.768921,0.142761,145.268,14.5772
Swift,selectionsort,25000,335.876831,179.114075,0.126831,144.196,13.6781
C,bubblesort,25000,2.092529,0.952576,0.015991,38.452,0.097671
C,bubblesort,50000,3.557617,1.736267,0.018250,43.044,0.15665
C,cyclesort,25000,2.873230,1.465088,0.018494,38.58,0.1195
C,cyclesort,50000,3.598877,1.914490,0.015381,43.272,0.144783
C,heapsort,25000,2.040588,1.021362,0.016785,37.352,0.086434
